NOGRID,LON,LAT,VAL
132101,114.7,-8.3,26.0601
132437,114.75,-8.3,26.1085
132773,114.8,-8.3,26.157
133109,114.85,-8.3,25.5613
133445,114.9,-8.3,24.9655
133781,114.95,-8.3,24.3697
134117,115,-8.3,23.7739
134453,115.05,-8.3,23.1781
134789,115.1,-8.3,22.5823
135125,115.15,-8.3,22.5551
135461,115.2,-8.3,22.5279
135797,115.25,-8.3,23.5764
136133,115.3,-8.3,24.6249
136469,115.35,-8.3,25.6733
136805,115.4,-8.3,26.7218
137141,115.45,-8.3,27.7703
137477,115.5,-8.3,28.8188
137813,115.55,-8.3,29.2054
138149,115.6,-8.3,29.592
142517,116.25,-8.3,18.9801
142853,116.3,-8.3,18.2725
143189,116.35,-8.3,18.8159
143525,116.4,-8.3,19.3593
143861,116.45,-8.3,19.1974
144197,116.5,-8.3,19.0354
144533,116.55,-8.3,18.8735
144869,116.6,-8.3,18.7115
145205,116.65,-8.3,18.5495
145541,116.7,-8.3,18.3876
150917,117.5,-8.3,6.7729
151253,117.55,-8.3,6.6756
152933,117.8,-8.3,10.1032
153269,117.85,-8.3,10.9844
153605,117.9,-8.3,11.8656
107238,111,-8.25,38.6339
107574,111.05,-8.25,42.8337
108246,111.15,-8.25,42.4295
108582,111.2,-8.25,42.2275
108918,111.25,-8.25,43.0426
109254,111.3,-8.25,43.8577
109590,111.35,-8.25,44.6727
109926,111.4,-8.25,45.4878
110262,111.45,-8.25,46.3029
110598,111.5,-8.25,46.5678
110934,111.55,-8.25,46.8328
111270,111.6,-8.25,47.0976
111606,111.65,-8.25,43.9703
111942,111.7,-8.25,40.843
112278,111.75,-8.25,37.7157
112614,111.8,-8.25,34.5884
112950,111.85,-8.25,31.4611
113286,111.9,-8.25,33.0344
113622,111.95,-8.25,34.6077
113958,112,-8.25,36.181
114294,112.05,-8.25,36.8304
114630,112.1,-8.25,37.4798
114966,112.15,-8.25,38.1291
115302,112.2,-8.25,38.7785
115638,112.25,-8.25,39.4279
115974,112.3,-8.25,39.8281
116310,112.35,-8.25,40.2284
116646,112.4,-8.25,40.6286
116982,112.45,-8.25,45.8474
117318,112.5,-8.25,51.0664
117654,112.55,-8.25,56.2853
117990,112.6,-8.25,61.5043
118326,112.65,-8.25,66.7232
118662,112.7,-8.25,65.331
118998,112.75,-8.25,63.9384
119334,112.8,-8.25,62.5458
119670,112.85,-8.25,60.3946
120006,112.9,-8.25,58.2433
120342,112.95,-8.25,56.092
120678,113,-8.25,53.9408
121014,113.05,-8.25,51.7896
121350,113.1,-8.25,52.1327
121686,113.15,-8.25,52.4757
122022,113.2,-8.25,52.8187
122358,113.25,-8.25,50.5062
